類型,公司代號 ,公司名稱 ,上市日,市場別,產業別,CFICode
股票 ,2375,凱美,1998/8/29,上市,電子零組件業,ESVUFR
股票 ,2376,技嘉,1998/9/24,上市,電腦及週邊設備業,ESVUFR
股票 ,2377,微星,1998/10/31,上市,電腦及週邊設備業,ESVUFR
股票 ,2379,瑞昱,1998/10/26,上市,半導體業,ESVUFR
股票 ,2380,虹光,1998/12/3,上市,電腦及週邊設備業,ESVUFR
股票 ,2382,廣達,1999/1/8,上市,電腦及週邊設備業,ESVUFR
股票 ,2383,台光電,1998/11/27,上市,電子零組件業,ESVUFR
股票 ,2385,群光,1999/1/5,上市,電子零組件業,ESVUFR
股票 ,2387,精元,1999/1/25,上市,電腦及週邊設備業,ESVUFR
股票 ,2388,威盛,1999/3/5,上市,半導體業,ESVUFR
股票 ,2390,云辰,1999/6/15,上市,其他電子業,ESVUFR
股票 ,2392,正崴,1999/9/20,上市,電子零組件業,ESVUFR
股票 ,2393,億光,1999/11/4,上市,光電業,ESVUFR
股票 ,2395,研華,1999/12/13,上市,電腦及週邊設備業,ESVUFR
股票 ,2397,友通,2000/1/15,上市,電腦及週邊設備業,ESVUFR
股票 ,2399,映泰,1999/12/16,上市,電腦及週邊設備業,ESVUFR
股票 ,2401,凌陽,2000/1/27,上市,半導體業,ESVUFR
股票 ,2402,毅嘉,2000/1/14,上市,電子零組件業,ESVUFR
股票 ,2404,漢唐,2000/3/14,上市,其他電子業,ESVUFR
股票 ,2405,輔信,2000/3/17,上市,電腦及週邊設備業,ESVUFR
股票 ,2406,國碩,2000/4/29,上市,光電業,ESVUFR
股票 ,2408,南亞科,2000/8/17,上市,半導體業,ESVUFR
股票 ,2409,友達,2000/9/8,上市,光電業,ESVUFR
股票 ,2412,中華電,2000/10/27,上市,通信網路業,ESVUFR
股票 ,2413,環科,2000/9/11,上市,電子零組件業,ESVUFR
股票 ,2414,精技,2000/9/11,上市,電子通路業,ESVUFR
股票 ,2415,錩新,2000/9/11,上市,電子零組件業,ESVUFR
股票 ,2417,圓剛,2000/9/11,上市,電腦及週邊設備業,ESVUFR
股票 ,2419,仲琦,2000/9/11,上市,通信網路業,ESVUFR
股票 ,2420,新巨,2000/9/11,上市,電子零組件業,ESVUFR
股票 ,2421,建準,2000/9/11,上市,電子零組件業,ESVUFR
股票 ,2423,固緯,2000/9/11,上市,其他電子業,ESVUFR
股票 ,2424,隴華,2000/9/11,上市,通信網路業,ESVUFR
股票 ,2425,承啟,2000/9/11,上市,電腦及週邊設備業,ESVUFR
股票 ,2426,鼎元,2000/9/11,上市,光電業,ESVUFR
股票 ,2427,三商電,2000/9/11,上市,資訊服務業,ESVUFR
股票 ,2428,興勤,2000/9/11,上市,電子零組件業,ESVUFR
股票 ,2429,銘旺科,2000/9/11,上市,光電業,ESVUFR
股票 ,2430,燦坤,2000/9/11,上市,電子通路業,ESVUFR
股票 ,2431,聯昌,2000/9/11,上市,電子零組件業,ESVUFR
股票 ,2433,互盛電,2000/9/11,上市,其他電子業,ESVUFR
股票 ,2434,統懋,2000/9/11,上市,半導體業,ESVUFR
股票 ,2436,偉詮電,2000/9/11,上市,半導體業,ESVUFR
股票 ,2438,翔耀,2000/9/11,上市,光電業,ESVUFR
股票 ,2439,美律,2000/9/11,上市,通信網路業,ESVUFR
股票 ,2440,太空梭,2000/11/10,上市,電子零組件業,ESVUFR
股票 ,2441,超豐,2000/10/26,上市,半導體業,ESVUFR
股票 ,2442,新美齊,2000/11/22,上市,建材營造業,ESVUFR
股票 ,2444,兆勁,2000/12/8,上市,通信網路業,ESVUFR
股票 ,2449,京元電子,2001/5/9,上市,半導體業,ESVUFR
股票 ,2450,神腦,2001/5/24,上市,通信網路業,ESVUFR
股票 ,2451,創見,2001/5/3,上市,半導體業,ESVUFR
股票 ,2453,凌群,2001/5/22,上市,資訊服務業,ESVUFR
股票 ,2454,聯發科,2001/7/23,上市,半導體業,ESVUFR
股票 ,2455,全新,2002/1/24,上市,通信網路業,ESVUFR
股票 ,2457,飛宏,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2458,義隆,2001/9/17,上市,半導體業,ESVUFR
股票 ,2459,敦吉,2001/9/17,上市,其他電子業,ESVUFR
股票 ,2460,建通,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2461,光群雷,2001/9/17,上市,其他電子業,ESVUFR
股票 ,2462,良得電,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2464,盟立,2001/9/17,上市,其他電子業,ESVUFR
股票 ,2465,麗臺,2001/9/19,上市,電腦及週邊設備業,ESVUFR
股票 ,2466,冠西電,2001/9/17,上市,光電業,ESVUFR
股票 ,2467,志聖,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2468,華經,2001/9/17,上市,資訊服務業,ESVUFR
股票 ,2471,資通,2001/9/17,上市,資訊服務業,ESVUFR
股票 ,2472,立隆電,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2474,可成,2001/9/17,上市,其他電子業,ESVUFR
股票 ,2476,鉅祥,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2477,美隆電,2001/9/17,上市,其他電子業,ESVUFR
股票 ,2478,大毅,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2480,敦陽科,2001/9/17,上市,資訊服務業,ESVUFR
股票 ,2481,強茂,2001/9/17,上市,半導體業,ESVUFR
股票 ,2482,連宇,2001/9/17,上市,其他電子業,ESVUFR
股票 ,2483,百容,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2484,希華,2001/9/17,上市,電子零組件業,ESVUFR
股票 ,2485,兆赫,2001/9/17,上市,通信網路業,ESVUFR
